Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
javascript,bytes,document,100,1,msgpackr,1.12.1,31603,32606,345,64209,31642.565579,30669.201987,15574.140697,0,1.00,1,c4a54cdecc67,33,13
javascript,bytes,document,100,1,simdjson-parse+JSON.stringify,0.9.2,6838,25186,448,32024,146241.591109,39704.597792,31226.580065,0,1.00,1,c4a54cdecc67,34,14
javascript,bytes,document,100,1,bson,6.10.4,63255,36101,493,99356,15809.026954,27700.063710,10064.817424,0,1.00,1,c4a54cdecc67,35,15
javascript,bytes,document,100,1,flatbuffers,24.12.23,90363,48737,416,139100,11066.476323,20518.292057,7189.072610,0,1.00,1,c4a54cdecc67,36,16
javascript,bytes,document,100,1,v8-serializer,v8-13.6.233.17-node.48,14120,11548,403,25668,70821.529745,86595.081399,38959.015116,0,1.00,1,c4a54cdecc67,37,17
javascript,bytes,document,100,1,bser,2.1.1,76328,128992,448,205320,13101.352060,7752.418755,4870.446133,0,1.00,1,c4a54cdecc67,38,18
javascript,bytes,document,100,1,cbor,9.0.2,412990,265431,332,678421,2421.366135,3767.457456,1474.010975,0,1.00,1,c4a54cdecc67,39,19
javascript,bytes,document,100,2,google-protobuf,3.21.4,2720,47984,155,50704,367647.058824,20840.280093,19722.309877,0,1.00,1,c4a54cdecc67,40,0
javascript,bytes,document,100,2,@msgpack/msgpack,3.1.3,69497,55857,325,125354,14389.110321,17902.859087,7977.407981,0,1.00,1,c4a54cdecc67,41,1
javascript,bytes,document,100,2,flatbuffers,24.12.23,86861,31694,416,118555,11512.646642,31551.713258,8434.903631,0,1.00,1,c4a54cdecc67,42,2
javascript,bytes,document,100,2,protobufjs,7.6.5,31852,53948,155,85800,31395.202813,18536.368355,11655.011655,0,1.00,1,c4a54cdecc67,43,3
javascript,bytes,document,100,2,bebop,3.2.3,39100,29382,547,68482,25575.447570,34034.442856,14602.377267,0,1.00,1,c4a54cdecc67,44,4
