Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,StreamMode,RunOrder,SchedulePosition
csharp,string,message,100,0,ServiceStack Json,6.11.0,7304030,5961571,157,13265601,136.91071915093448,167.74101994256213,75.38293967985318,0,1.00,1,99d1c7fab316,,30,30
csharp,string,message,100,0,Json.Net (Helper),13.0.4,751757,56621,167,808378,1330.2170781249793,17661.291746878367,1237.0450457582963,0,1.00,1,99d1c7fab316,,31,31
csharp,string,message,100,0,ExtendedXmlSerializer,3.10.0.0,1665405,165620,511,1831025,600.454544089876,6037.918125830214,546.1421881186767,0,1.00,1,99d1c7fab316,,32,32
csharp,string,message,100,0,Ceras,4.1.7,22903657,2113595,128,25017252,43.661149832972086,473.1275386249494,39.97241583528039,0,1.00,1,99d1c7fab316,,33,33
csharp,string,message,100,0,MemoryPack,,2161401,1385077,88,3546478,462.6628746817458,721.981521604936,281.9698867439753,0,1.00,1,99d1c7fab316,,34,34
csharp,string,message,100,0,GroBuf,1.9.2,34267,26646572,212,26680839,29182.595500043775,37.52827943496822,37.48008074258834,0,1.00,1,99d1c7fab316,,35,35
csharp,string,message,100,0,Utf8Json,1.3.7,27099968,2997229,157,30097197,36.90041257613293,333.6415068718473,33.22568543509218,0,1.00,1,99d1c7fab316,,36,36
csharp,string,message,100,0,CsvHelper,33.1.0,19736954,9379923,136,29116877,50.66637942207293,106.61068326467073,34.34434262987751,0,1.00,1,99d1c7fab316,,37,37
csharp,string,message,100,1,MemoryPack,,21697,7820,88,29517,46089.321104300136,127877.2378516624,33878.781719009385,0,1.00,1,99d1c7fab316,,38,0
csharp,string,message,100,1,fastJson,2.4.0.4,27003,33229,310,60232,37032.92226789616,30094.194829817327,16602.4704476026,0,1.00,1,99d1c7fab316,,39,1
csharp,string,message,100,1,ServiceStack,6.11.0,26141,16624,137,42765,38254.0836234268,60153.99422521656,23383.608090728398,0,1.00,1,99d1c7fab316,,40,2
