Tests performed 100 times for each TestData + Serializer pair
################################################################################

Test Data: Person
Serializer:               Ops/sec Avg:  Ser      Deser   Ser+Deser  Size: Avg
MS DataContract       Stream        231,121    170,245     97,172        604
MS Binary             Stream        148,873    280,018     95,780        257
MS Binary             string        143,567    222,202     86,103        343
MS DataContract       string        221,686    131,532     81,974        806
FsPickler             string        136,430    181,469     77,077        369
FsPicklerJson         string        138,898    155,652     73,030        604
MS XmlSerializer      string        152,606     99,345     59,764        706
MS XmlSerializer      Stream        154,151     97,694     59,436        688
ProtoBuf              Stream         58,937     59,668     29,526        153
ProtoBuf              string         59,199     58,805     29,405        208
NFX.Slim              Stream         14,563    243,560     13,726        168
NFX.Slim              string         14,580    211,970     13,627        225
JsonFx                string        214,970      1,356      1,347        173
JsonFx                Stream        200,572      1,336      1,327        174



Test Data: Simple Object
Serializer:               Ops/sec Avg:  Ser      Deser   Ser+Deser  Size: Avg
===============================================================================
NetSerializer         Stream        888,540  1,116,754    489,110        112
MS Bond Fast          string        979,526    918,654    462,500        192
WireSerializer        Stream        978,090    890,642    456,111        207
WireSerializer        string        795,906    610,021    338,877        276
NetSerializer         string        788,134    533,398    309,154        152
ProtoBuf              Stream        603,914    584,086    291,017        123
MS Bond Compact       string        461,167    730,541    275,705        164
ProtoBuf              string        575,034    501,500    265,128        164
NetJSON               string        436,883    421,919    211,814        282
MsgPack               Stream        442,007    367,709    199,207        112
Json.Net              Stream        448,257    357,966    198,180        290
Json.Net              string        488,036    323,687    192,722        290
Jil                   string        348,691    370,457    177,023        278
MsgPack               string        418,826    309,126    176,048        152
Jil                   Stream        349,208    309,892    161,826        278
MS Bond Fast          Stream        340,450    299,859    155,026        143
MS Bond Json          Stream        310,143    268,904    142,318        275
MS Bond Json          string        362,627    237,868    141,131        275
ServiceStack Type     string        288,679    242,500    130,341        264
SharpSerializer       Stream        524,667    163,446    123,621        134
ServiceStack Type     Stream        273,718    196,445    112,944        264
SharpSerializer       string        522,050    145,151    112,089        180
Json.Net (Helper)     string        222,443    206,481    105,824        290
ServiceStack Json     string        238,915    190,309    104,345        283
MS Bond Compact       Stream        209,157    215,381    103,269        121
Json.Net (Helper)     Stream        224,209    184,298    100,360        290
fastJson              string        214,292    182,381     97,327        429
ServiceStack Json     Stream        222,209    171,578     95,974        283
MS DataContract       Stream        217,065    142,120     84,937        542
FsPickler             string        132,736    215,298     81,392        352
fastJson              Stream        218,071    129,658     80,445        429
MS DataContract Json  Stream        215,344    128,661     79,577        285
MS DataContract Json  string        208,337    116,486     73,376        380
MS Binary             Stream        122,673    169,247     69,911        400
MS DataContract       string        211,057    103,509     68,763        724
MS XmlSerializer      Stream        153,369    121,276     66,886        569
MS Binary             string        126,258    144,062     66,685        536
MS XmlSerializer      string        143,057    114,363     62,698        587
FsPicklerJson         string        137,041    110,125     60,383        756
MS JavaScript         string         60,462     52,751     28,026        280
MS JavaScript         Stream         57,991     53,072     27,602        280
NFX.Slim              Stream         15,594    269,938     14,704        121
NFX.Slim              string         14,793    222,305     13,839        164
JsonFx                string        143,391      6,816      6,490        281
JsonFx                Stream        150,068      6,780      6,469        281



Test Data: Telemetry
Serializer:               Ops/sec Avg:  Ser      Deser   Ser+Deser  Size: Avg
===============================================================================
MS Bond Fast          Stream        470,040    437,765    221,062        937
NetSerializer         Stream        369,100    434,707    197,278      1,004
ProtoBuf              Stream        394,807    355,050    184,929      1,009
MS Bond Fast          string        528,815    272,919    177,433      1,252
MS Bond Compact       Stream        274,819    352,661    150,282        915
WireSerializer        Stream        276,661    321,318    147,127      1,007
MS Bond Compact       string        327,510    251,898    141,041      1,220
NetSerializer         string        298,989    200,085    118,595      1,340
ProtoBuf              string        332,357    185,609    117,740      1,348
MsgPack               Stream        251,331    184,690    105,066      1,006
WireSerializer        string        241,367    170,645     99,194      1,344
MsgPack               string        220,725    130,467     81,188      1,344
FsPickler             string        111,451    133,677     60,213      1,420
NetJSON               string        113,532    110,308     55,749      2,063
MS Binary             Stream         81,381    115,614     46,861      1,210
MS Binary             string         89,036     98,395     46,120      1,616
Jil                   string        100,399     81,729     44,726      2,059
Jil                   Stream         87,578     70,384     38,864      2,059
ServiceStack Type     string         66,868     67,843     33,488      2,045
fastJson              string         70,379     60,792     32,481      2,212
ServiceStack Json     string         66,340     63,445     32,237      2,064
MS Bond Json          string         67,153     62,243     32,103      2,244
MS Bond Json          Stream         66,492     60,102     31,402      2,244
Json.Net              string         58,436     67,586     31,169      2,259
ServiceStack Type     Stream         64,849     59,184     30,805      2,045
ServiceStack Json     Stream         61,913     58,389     29,959      2,064
fastJson              Stream         62,556     56,028     29,476      2,212
