StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser
string,Integer,1,0,SpanJson,460868,570887,10,1031755,21,17,9
string,Integer,1,0,Utf8Json,346612,431705,10,778317,28,23,12
string,Integer,1,0,YamlDotNet,137679,172243,11,309922,72,58,32
string,Integer,1,0,YAXLib,204048,85049,25,289097,49,117,34
string,Integer,1,0,MemoryPack,13614140,948048,8,14562188,0,10,0
string,Integer,1,0,SharpYaml,36365,58045,11,94410,274,172,105
string,Integer,1,0,GroBuf,86829135,14982780,8,101811915,0,0,0
string,Integer,1,0,ExtendedXmlSerializer,36613323,43674,114,36656997,0,228,0
string,Integer,1,0,Migrant,13142875,10252128,180,23395003,0,0,0
string,Integer,1,0,Apex.Serialization,646547,331445,160,977992,15,30,10
Stream,Integer,1,0,MS Binary,45077,36467,54,81544,221,274,122
Stream,Integer,1,0,MS Bond Compact,34965,23810,1,58775,286,419,170
Stream,Integer,1,0,MS Bond Fast,23134,20742,1,43876,432,482,227
Stream,Integer,1,0,MS Bond Json,9003,12256,2,21259,1110,815,470
Stream,Integer,1,0,MS DataContract,31894,24370,81,56264,313,410,177
Stream,Integer,1,0,MS DataContract Json,13104,15363,10,28467,763,650,351
Stream,Integer,1,0,MS XmlSerializer,29159,43090,60,72249,342,232,138
Stream,Integer,1,0,fastJson,8846,21970,10,30816,1130,455,324
Stream,Integer,1,0,Jil,15939,9572,10,25511,627,1044,391
Stream,Integer,1,0,Json.Net (Helper),17581,14963,10,32544,568,668,307
Stream,Integer,1,0,Json.Net,9887,3860,10,13747,1011,2590,727
Stream,Integer,1,0,FsPickler,25208,15918,119,41126,396,628,243
Stream,Integer,1,0,FsPicklerJson,19799,17764,269,37563,505,562,266
Stream,Integer,1,0,NetJSON,6936,8786,10,15722,1441,1138,636
Stream,Integer,1,0,ProtoBuf,12848,6854,6,19702,778,1459,507
Stream,Integer,1,0,SharpSerializer,184172,126683,155,310855,54,78,32
Stream,Integer,1,0,ServiceStack Json,8012,14675,10,22687,1248,681,440
Stream,Integer,1,0,ServiceStack Type,5108,6934,10,12042,1957,1442,830
Stream,Integer,1,0,Ceras,24137,26803,20,50940,414,373,196
Stream,Integer,1,0,CsvHelper,619431,985438,15,1604869,16,10,6
