Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
javascript,bytes,message,100,1,bebop,3.2.3,23077,19160,162,42237,43333.188889,52192.066806,23675.923953,0,1.00,1,99d1c7fab316,34,14
javascript,bytes,message,100,1,fast-json-stringify,6.4.0,9079,3024,168,12103,110144.289019,330687.830688,82624.142775,0,1.00,1,99d1c7fab316,35,15
javascript,bytes,message,100,1,cbor-x,1.6.4,28798,29501,131,58299,34724.633655,33897.156029,17152.952881,0,1.00,1,99d1c7fab316,36,16
javascript,bytes,message,100,1,bser,2.1.1,60305,204237,153,264542,16582.372938,4896.272468,3780.118091,0,1.00,1,99d1c7fab316,37,17
javascript,bytes,message,100,1,bson,6.10.4,47528,32422,140,79950,21040.228918,30843.254580,12507.817386,0,1.00,1,99d1c7fab316,38,18
javascript,bytes,message,100,1,avsc,5.7.9,32535,19360,44,51895,30736.130321,51652.892562,19269.679160,0,1.00,1,99d1c7fab316,39,19
javascript,bytes,message,100,2,@msgpack/msgpack,3.1.3,62758,35330,124,98088,15934.223525,28304.557034,10194.927004,0,1.00,1,99d1c7fab316,40,0
javascript,bytes,message,100,2,simdjson-parse+JSON.stringify,0.9.2,3720,18428,168,22148,268817.204301,54265.248535,45150.803684,0,1.00,1,99d1c7fab316,41,1
javascript,bytes,message,100,2,google-protobuf,3.21.4,2398,27549,52,29947,417014.178482,36298.958220,33392.326443,0,1.00,1,99d1c7fab316,42,2
javascript,bytes,message,100,2,flatbuffers,24.12.23,52746,26944,104,79690,18958.783604,37114.014252,12548.625925,0,1.00,1,99d1c7fab316,43,3
javascript,bytes,message,100,2,msgpackr,1.12.1,16680,33159,126,49839,59952.038369,30157.724901,20064.608038,0,1.00,1,99d1c7fab316,44,4
javascript,bytes,message,100,2,devalue,5.8.1,30181,13488,186,43669,33133.428316,74139.976275,22899.539719,0,1.00,1,99d1c7fab316,45,5
javascript,bytes,message,100,2,sia,2.3.0,34219,18405,162,52624,29223.530787,54333.061668,19002.736394,0,1.00,1,99d1c7fab316,46,6
javascript,bytes,message,100,2,bser,2.1.1,29758,38002,153,67760,33604.408898,26314.404505,14757.969303,0,1.00,1,99d1c7fab316,47,7
javascript,bytes,message,100,2,bebop,3.2.3,20472,12658,162,33130,48847.205940,79001.422026,30184.123151,0,1.00,1,99d1c7fab316,48,8
javascript,bytes,message,100,2,v8-serializer,v8-13.6.233.17-node.48,8288,5913,135,14201,120656.370656,169118.890580,70417.576227,0,1.00,1,99d1c7fab316,49,9
javascript,bytes,message,100,2,protobufjs,7.6.5,21829,49577,52,71406,45810.618901,20170.643645,14004.425398,0,1.00,1,99d1c7fab316,50,10
javascript,bytes,message,100,2,json-pack-msgpack,18.28.0,28444,23393,131,51837,35156.799325,42747.830548,19291.239848,0,1.00,1,99d1c7fab316,51,11
javascript,bytes,message,100,2,cbor-x,1.6.4,21501,16687,131,38188,46509.464676,59926.889195,26186.236514,0,1.00,1,99d1c7fab316,52,12
javascript,bytes,message,100,2,JSON.stringify,node-24.15.0,4162,4212,168,8374,240269.101394,237416.904084,119417.243850,0,1.00,1,99d1c7fab316,53,13
javascript,bytes,message,100,2,flexbuffers,24.12.23,82657,41696,199,124353,12098.188901,23983.115886,8041.623443,0,1.00,1,99d1c7fab316,54,14
javascript,bytes,message,100,2,cbor,9.0.2,210202,106445,124,316647,4757.328665,9394.522993,3158.090871,0,1.00,1,99d1c7fab316,55,15
javascript,bytes,message,100,2,protobuf-es,2.12.1,36182,31959,50,68141,27638.052070,31290.090428,14675.452371,0,1.00,1,99d1c7fab316,56,16
javascript,bytes,message,100,2,avsc,5.7.9,21421,12585,44,34006,46683.161384,79459.674215,29406.575310,0,1.00,1,99d1c7fab316,57,17
javascript,bytes,message,100,2,fast-json-stringify,6.4.0,13467,2964,168,16431,74255.587733,337381.916329,60860.568438,0,1.00,1,99d1c7fab316,58,18
javascript,bytes,message,100,2,bson,6.10.4,49034,15934,140,64968,20394.012318,62758.880382,15392.193080,0,1.00,1,99d1c7fab316,59,19
javascript,bytes,message,100,3,bser,2.1.1,26997,28947,153,55944,37041.152721,34545.894220,17875.017875,0,1.00,1,99d1c7fab316,60,0
javascript,bytes,message,100,3,devalue,5.8.1,25068,8576,186,33644,39891.495133,116604.477612,29722.981810,0,1.00,1,99d1c7fab316,61,1
javascript,bytes,message,100,3,flexbuffers,24.12.23,72849,39181,199,112030,13727.024393,25522.574717,8926.180487,0,1.00,1,99d1c7fab316,62,2
javascript,bytes,message,100,3,msgpackr,1.12.1,12003,15056,126,27059,83312.505207,66418.703507,36956.280720,0,1.00,1,99d1c7fab316,63,3
javascript,bytes,message,100,3,cbor-x,1.6.4,23509,12092,131,35601,42536.900761,82699.305326,28089.098621,0,1.00,1,99d1c7fab316,64,4
javascript,bytes,message,100,3,google-protobuf,3.21.4,1380,26885,52,28265,724637.681159,37195.462154,35379.444543,0,1.00,1,99d1c7fab316,65,5
javascript,bytes,message,100,3,json-pack-msgpack,18.28.0,24526,12068,131,36594,40773.057164,82863.771959,27326.884189,0,1.00,1,99d1c7fab316,66,6
javascript,bytes,message,100,3,simdjson-parse+JSON.stringify,0.9.2,4489,17272,168,21761,222766.763199,57897.174618,45953.770507,0,1.00,1,99d1c7fab316,67,7
javascript,bytes,message,100,3,sia,2.3.0,18160,13219,162,31379,55066.079295,75648.687495,31868.447051,0,1.00,1,99d1c7fab316,68,8
javascript,bytes,message,100,3,cbor,9.0.2,146465,80465,124,226930,6827.569727,12427.763624,4406.645221,0,1.00,1,99d1c7fab316,69,9
javascript,bytes,message,100,3,flatbuffers,24.12.23,40337,16632,104,56969,24791.134690,60125.060125,17553.406238,0,1.00,1,99d1c7fab316,70,10
javascript,bytes,message,100,3,bson,6.10.4,21907,11993,140,33900,45647.509928,83381.972817,29498.525074,0,1.00,1,99d1c7fab316,71,11
javascript,bytes,message,100,3,protobufjs,7.6.5,15009,30009,52,45018,66626.690652,33323.336332,22213.336887,0,1.00,1,99d1c7fab316,72,12
javascript,bytes,message,100,3,v8-serializer,v8-13.6.233.17-node.48,7315,5674,135,12989,136705.399863,176242.509693,76988.220802,0,1.00,1,99d1c7fab316,73,13
javascript,bytes,message,100,3,fast-json-stringify,6.4.0,6979,4158,168,11137,143287.003869,240500.240500,89790.787465,0,1.00,1,99d1c7fab316,74,14
javascript,bytes,message,100,3,JSON.stringify,node-24.15.0,3446,1601,168,5047,290191.526407,624609.618988,198137.507430,0,1.00,1,99d1c7fab316,75,15
javascript,bytes,message,100,3,@msgpack/msgpack,3.1.3,33957,26288,124,60245,29449.009041,38040.170420,16598.887875,0,1.00,1,99d1c7fab316,76,16
javascript,bytes,message,100,3,bebop,3.2.3,14566,12188,162,26754,68653.027599,82047.915983,37377.588398,0,1.00,1,99d1c7fab316,77,17
javascript,bytes,message,100,3,avsc,5.7.9,15841,10810,44,26651,63127.327820,92506.938020,37522.044201,0,1.00,1,99d1c7fab316,78,18
javascript,bytes,message,100,3,protobuf-es,2.12.1,24715,20787,50,45502,40461.258345,48106.989946,21977.055954,0,1.00,1,99d1c7fab316,79,19
javascript,bytes,message,100,4,msgpackr,1.12.1,10495,13703,126,24198,95283.468318,72976.720426,41325.729399,0,1.00,1,99d1c7fab316,80,0
javascript,bytes,message,100,4,devalue,5.8.1,55767,9199,186,64966,17931.751753,108707.468203,15392.666933,0,1.00,1,99d1c7fab316,81,1
javascript,bytes,message,100,4,google-protobuf,3.21.4,1424,34800,52,36224,702247.191011,28735.632184,27606.007067,0,1.00,1,99d1c7fab316,82,2
javascript,bytes,message,100,4,bson,6.10.4,22459,11719,140,34178,44525.579946,85331.512928,29258.587395,0,1.00,1,99d1c7fab316,83,3
