Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,StreamMode,RunOrder,SchedulePosition
csharp,string,document,100,0,FsPicklerJson,5.3.2,2477059,3352621,1024,5829680,403.7045544736722,298.2740965948731,171.53600197609475,0,1.00,1,c4a54cdecc67,,30,30
csharp,string,document,100,0,NetSerializer,4.1.2,3177867,3329566,184,6507433,314.67647953800457,300.339443639201,153.67042580384614,0,1.00,1,c4a54cdecc67,,31,31
csharp,string,document,100,0,ServiceStack,6.11.0,7842796,6983387,360,14826183,127.50554776638332,143.19699022838057,67.44824342178968,0,1.00,1,c4a54cdecc67,,32,32
csharp,string,document,100,0,FlatSharp,7.5.1,1149698085,2101739,572,1151799824,0.8697935684567135,475.79647139820884,0.8682064184791888,0,1.00,1,c4a54cdecc67,,33,33
csharp,string,document,100,0,GroBuf,1.9.2,54944,47938568,804,47993512,18200.349446709377,20.86003069595237,20.836149686232588,0,1.00,1,c4a54cdecc67,,34,34
csharp,string,document,100,0,fastJson,2.4.0.4,4910035,6946557,972,11856592,203.66453599617924,143.95620737006837,84.34126770997939,0,1.00,1,c4a54cdecc67,,35,35
csharp,string,document,100,0,System.Text.Json,8.0.0.0,15794713,1621568,588,17416281,63.31232482666827,616.6870584520661,57.417539370201936,0,1.00,1,c4a54cdecc67,,36,36
csharp,string,document,100,1,fastJson,2.4.0.4,37824,53919,972,91743,26438.24027072758,18546.338025556855,10900.014170018421,0,1.00,1,c4a54cdecc67,,37,0
csharp,string,document,100,1,SharpYaml,3.13.0,171862,288773,469,460635,5818.621917585039,3462.9276282754968,2170.916235197065,0,1.00,1,c4a54cdecc67,,38,1
csharp,string,document,100,1,MS Bond Fast,.NET 8.0.28,13784,8413,376,22197,72547.88160185723,118863.66337810531,45051.13303599585,0,1.00,1,c4a54cdecc67,,39,2
csharp,string,document,100,1,MemoryPack,,41525,12384,352,53909,24081.87838651415,80749.35400516796,18549.778330148954,0,1.00,1,c4a54cdecc67,,40,3
csharp,string,document,100,1,System.Text.Json,8.0.0.0,54792,27211,588,82003,18250.839538618777,36749.843813163796,12194.675804543736,0,1.00,1,c4a54cdecc67,,41,4
